title,url,time
Dallas/FTW AREA OWNER OPS WANTED! 🚛 🚛 🚛,https://dallas.craigslist.org/ftw/trp/d/fort-worth-dallas-ftw-area-owner-ops/7497481067.html,Jun 16
Denton Rough Carpenters Needed! Full Time Work!,https://dallas.craigslist.org/ftw/trd/d/denton-denton-rough-carpenters-needed/7497474057.html,Jun 16
DRIVER,https://dallas.craigslist.org/dal/trp/d/mesa-driver/7497473450.html,Jun 16
KITCHEN MANAGER/LINE COOK,https://dallas.craigslist.org/dal/fbh/d/dallas-kitchen-manager-line-cook/7497466889.html,Jun 16
Dedicated Freight | 61 cpm | Sign on Bonus | Home Weekly,https://dallas.craigslist.org/ftw/trp/d/fort-worth-dedicated-freight-61-cpm/7497446079.html,Jun 16
"Cleaners Wanted - Choose your rates ($20-$33/hour), times, & location",https://dallas.craigslist.org/ndf/lab/d/frisco-cleaners-wanted-choose-your/7497460413.html,Jun 16
HVAC TECHNICIAN NEEDED!!,https://dallas.craigslist.org/dal/trd/d/dallas-hvac-technician-needed/7497457484.html,Jun 16
Simply Fondue Dallas looking for Weekend Dishwasher,https://dallas.craigslist.org/dal/fbh/d/dallas-simply-fondue-dallas-looking-for/7497457428.html,Jun 16
!!! CDL CLASS A DRIVER STARTING AT $2500 PER WEEK (OPEN FOR PROMO),https://dallas.craigslist.org/dal/trp/d/dallas-cdl-class-driver-starting-at/7497454194.html,Jun 16
"CDL TRUCK DRIVER - $0.65 CPM, Average 3k miles per week",https://dallas.craigslist.org/dal/trp/d/hutchins-cdl-truck-driver-cpm-average/7497452224.html,Jun 16
Apartment Leasing Consultant,https://dallas.craigslist.org/ndf/lab/d/denton-apartment-leasing-consultant/7497451680.html,Jun 16
Research Analyst and Office Coordinator,https://dallas.craigslist.org/ndf/ofc/d/addison-research-analyst-and-office/7497446933.html,Jun 16
$$ Use Your Economy Car to Deliver. $650 Per Week - No Taxes Taken Out,https://dallas.craigslist.org/mdf/trp/d/mesquite-use-your-economy-car-to/7497446909.html,Jun 16
$$ Use Your Economy Car to Deliver. $650 Per Week - No Taxes Taken Out,https://dallas.craigslist.org/mdf/lab/d/mesquite-use-your-economy-car-to/7497446690.html,Jun 16
Accounts Receivable Specialist,https://dallas.craigslist.org/dal/acc/d/dallas-accounts-receivable-specialist/7497445631.html,Jun 16
Accounts Receivable Specialist,https://dallas.craigslist.org/dal/rej/d/dallas-accounts-receivable-specialist/7497445632.html,Jun 16
⚡️NIGHTLY TRASH PICK UP! / WEEKLY PAY! / GET FIT!⚡️,https://dallas.craigslist.org/dal/lab/d/dallas-nightly-trash-pick-up-weekly-pay/7497437702.html,Jun 16
Now Hiring Full-Time Security Professional,https://dallas.craigslist.org/dal/sec/d/garland-now-hiring-full-time-security/7497437029.html,Jun 16
HVAC Technician $25+ hourly,https://dallas.craigslist.org/ndf/trd/d/dallas-hvac-technician-25-hourly/7497433279.html,Jun 16
Trailer Mechanic,https://dallas.craigslist.org/dal/lab/d/ferris-trailer-mechanic/7497431436.html,Jun 16
HDD Laborers or Operators,https://dallas.craigslist.org/dal/lab/d/bismarck-hdd-laborers-or-operators/7497430774.html,Jun 16
**Need Courier for Short Routes 7/1**,https://dallas.craigslist.org/ndf/trp/d/dallas-need-courier-for-short-routes-1/7497426280.html,Jun 16
WAREHOUSE ASSOCIATE In Dallas Near Garland - Hiring ASAP!,https://dallas.craigslist.org/dal/lab/d/dallas-warehouse-associate-in-dallas/7497424920.html,Jun 16
Outside Sales Representative- 1 Call Closers,https://dallas.craigslist.org/dal/bus/d/dallas-outside-sales-representative/7497420463.html,Jun 16
Outside Sales Representative- 1 Call Closers,https://dallas.craigslist.org/dal/sls/d/dallas-outside-sales-representative/7497420466.html,Jun 16
Outside Sales Representative- 1 Call Closers,https://dallas.craigslist.org/dal/ret/d/dallas-outside-sales-representative/7497420465.html,Jun 16
Pickup office lunch | Up to $40+ for 45-60 mins (Addison),https://dallas.craigslist.org/ndf/ofc/d/addison-pickup-office-lunch-up-to-40/7497420244.html,Jun 16
"CLASS A CDL TRUCK DRIVERS $2,000 SIGN ON BONUS!  25% - 28% OF LOAD!",https://dallas.craigslist.org/ftw/trp/d/fort-worth-class-cdl-truck-drivers-2000/7497419499.html,Jun 16
Assistant Property Manager,https://dallas.craigslist.org/ndf/rej/d/dallas-assistant-property-manager/7497419303.html,Jun 16
Pickup office lunch | Up to $40+ for 45-60 mins (Plano/Frisco),https://dallas.craigslist.org/ndf/csr/d/plano-pickup-office-lunch-up-to-40-for/7497419277.html,Jun 16
Deliver with Gopuff - Earn Big & Keep 100% of Your Tips,https://dallas.craigslist.org/dal/fbh/d/dallas-deliver-with-gopuff-earn-big/7497418735.html,Jun 16
CNC Machine Operator,https://dallas.craigslist.org/ftw/mnu/d/fort-worth-cnc-machine-operator/7497415727.html,Jun 16
Water Tank Inspector -,https://dallas.craigslist.org/ftw/trd/d/naval-air-station-jrb-water-tank/7497412923.html,Jun 16
Assistant Maintenance- $1000 Hiring Bonus,https://dallas.craigslist.org/ndf/lab/d/allen-assistant-maintenance-hiring-bonus/7497412685.html,Jun 16
🔴OBTAIN *750+ *CREDIT* SCORE IN 24HR🔴EVEN IF YOU HAVE HORRIBLE CREDIT NOW!,https://dallas.craigslist.org/dal/sls/d/obtain-750-credit-score-in-24hreven-if/7497411440.html,Jun 16
Experienced HVAC service techs,https://dallas.craigslist.org/dal/sls/d/dallas-experienced-hvac-service-techs/7497410372.html,Jun 16
DRIVERS NEEDED NOW!!!! SIGN ON BONUS!!,https://dallas.craigslist.org/ftw/trp/d/fort-worth-drivers-needed-now-sign-on/7497409834.html,Jun 16
Boss Truck Shops is looking for Customer Service/Sales Associates!,https://dallas.craigslist.org/dal/csr/d/hutchins-boss-truck-shops-is-looking/7497409623.html,Jun 16
Commercial Diver,https://dallas.craigslist.org/ftw/trd/d/naval-air-station-jrb-commercial-diver/7497408816.html,Jun 16
💲⭐2023 LEASE PURCHASE! FIRST WEEK ZERO TRUCK RENT! GET 82%⭐💲,https://dallas.craigslist.org/ftw/trp/d/lansing-2023-lease-purchase-first-week/7497406733.html,Jun 16
Composite Lay Up/Laminating Tech/bonder,https://dallas.craigslist.org/ftw/mnu/d/fort-worth-composite-lay-up-laminating/7497405441.html,Jun 16
Remodelacion | Make Ready,https://dallas.craigslist.org/mdf/lab/d/grand-prairie-remodelacion-make-ready/7497405047.html,Jun 16
CDL Class B Straight Truck Team Drivers,https://dallas.craigslist.org/dal/trp/d/dallas-cdl-class-straight-truck-team/7497404870.html,Jun 16
Local CDL DRIVERS NEEDED,https://dallas.craigslist.org/mdf/trp/d/fort-worth-local-cdl-drivers-needed/7497403651.html,Jun 16
Outside Sales Representative- 1 Call Closers,https://dallas.craigslist.org/mdf/mar/d/arlington-outside-sales-representative/7497402641.html,Jun 16
Outside Sales Representative- 1 Call Closers,https://dallas.craigslist.org/mdf/csr/d/arlington-outside-sales-representative/7497402640.html,Jun 16
Outside Sales Representative- 1 Call Closers,https://dallas.craigslist.org/mdf/sls/d/arlington-outside-sales-representative/7497402642.html,Jun 16
"OWNER OPERATORS – MAKE MORE MONEY $, MORE MILES ===",https://dallas.craigslist.org/dal/trp/d/dallas-owner-operators-make-more-money/7497401954.html,Jun 16
CDL Driver ONLY-,https://dallas.craigslist.org/ftw/lab/d/mansfield-cdl-driver-only/7497394118.html,Jun 16
Insurance Service Agent,https://dallas.craigslist.org/dal/csr/d/irving-insurance-service-agent/7497392851.html,Jun 16
GET YOUR CDL AT PAM HEADQUARTERS! STRAIGHT TO SEAT! WEEKLY STIPEND!,https://dallas.craigslist.org/dal/trp/d/fayetteville-get-your-cdl-at-pam/7497392739.html,Jun 16
Class A w/ tankers *****100% Medical paid,https://dallas.craigslist.org/sdf/trp/d/elmendorf-class-w-tankers-100-medical/7497392150.html,Jun 16
Class A w/ tankers *****100% Medical paid,https://dallas.craigslist.org/sdf/trd/d/elmendorf-class-w-tankers-100-medical/7497392148.html,Jun 16
FORT WORTH - Owner Operators- 5k per week,https://dallas.craigslist.org/ftw/trp/d/fort-worth-fort-worth-owner-operators/7497391675.html,Jun 16
Now Casting Virtual Couples Who’ve Yet to Meet in Person,https://dallas.craigslist.org/dal/tfr/d/dallas-now-casting-virtual-couples/7497391493.html,Jun 16
PAM Transport | Owner Operator & Company Drivers | Dedicated Lanes!,https://dallas.craigslist.org/dal/trp/d/irving-pam-transport-owner-operator/7497390890.html,Jun 16
Get Jobs (NOT Leads) with PunchListUSA,https://dallas.craigslist.org/ftw/trd/d/fort-worth-get-jobs-not-leads-with/7497381534.html,Jun 16
Superintendent - Multifamily Renovation / Redevelopment,https://dallas.craigslist.org/dal/rej/d/irving-superintendent-multifamily/7497379445.html,Jun 16
Arlington GENERAL LABOR! START ASAP! FULL TIME! ($12-13/hr),https://dallas.craigslist.org/sdf/lab/d/arlington-arlington-general-labor-start/7497379095.html,Jun 16
Norwegian Cruise Line- Upcoming Hiring Events!!!,https://dallas.craigslist.org/dal/fbh/d/dallas-norwegian-cruise-line-upcoming/7497375330.html,Jun 16
"HIRING NOW - PACKERS, OPERATORS, MAINTENANCE!",https://dallas.craigslist.org/sdf/mnu/d/corsicana-hiring-now-packers-operators/7497372619.html,Jun 16
PT Retail Merchandiser/Associate,https://dallas.craigslist.org/mdf/ret/d/addison-pt-retail-merchandiser-associate/7497371025.html,Jun 16
SALON BOOTH RENTAL,https://dallas.craigslist.org/dal/spa/d/plano-salon-booth-rental/7497369183.html,Jun 16
Irrigator and Concrete Labor,https://dallas.craigslist.org/ftw/lab/d/fort-worth-irrigator-and-concrete-labor/7497367360.html,Jun 16
END DUMP DRIVERS WANTED,https://dallas.craigslist.org/ndf/trp/d/nevada-end-dump-drivers-wanted/7497366958.html,Jun 16
Auto Tech / Mechanic for Hire - Fort Worth,https://dallas.craigslist.org/ftw/trd/d/fort-worth-auto-tech-mechanic-for-hire/7497366209.html,Jun 16
HIRING IMMEDIATELY-Landscape Maintenance & Irrigation Tech $16-20 hour,https://dallas.craigslist.org/dal/lab/d/mckinney-hiring-immediately-landscape/7497364691.html,Jun 16
Still Time to Interview this Week! ~~~,https://dallas.craigslist.org/ftw/ret/d/fort-worth-still-time-to-interview-this/7497363719.html,Jun 16
"++++CONDUCTORES CDL-A *HASTA $2,000/SEMANA *EN CASA 1 VEZ X SEMANA++++",https://dallas.craigslist.org/dal/trp/d/dallas-conductores-cdl-hasta-2000/7497361723.html,Jun 16
Garland General Labor Needed! Start ASAP! ($11.50/hr),https://dallas.craigslist.org/dal/lab/d/garland-garland-general-labor-needed/7497356629.html,Jun 16
TRUCK DRIVER APP WITH BEST DRIVING JOBS IN THE US!,https://dallas.craigslist.org/dal/trp/d/dallas-truck-driver-app-with-best/7497356597.html,Jun 16
Estimator,https://dallas.craigslist.org/ftw/lab/d/fort-worth-estimator/7497355052.html,Jun 16
Landscaper needed,https://dallas.craigslist.org/mdf/lab/d/hurst-landscaper-needed/7497354819.html,Jun 16
Parts/Maintenance/Toolroom Clerk Needed - Immediate Hire!,https://dallas.craigslist.org/dal/trp/d/dallas-parts-maintenance-toolroom-clerk/7497353422.html,Jun 16
Parts/Maintenance/Toolroom Clerk Needed - Immediate Hire!,https://dallas.craigslist.org/dal/mnu/d/dallas-parts-maintenance-toolroom-clerk/7497353421.html,Jun 16
Parts/Maintenance/Toolroom Clerk Needed - Immediate Hire!,https://dallas.craigslist.org/dal/ofc/d/dallas-parts-maintenance-toolroom-clerk/7497353419.html,Jun 16
Parts/Maintenance/Toolroom Clerk Needed - Immediate Hire!,https://dallas.craigslist.org/dal/lab/d/dallas-parts-maintenance-toolroom-clerk/7497353420.html,Jun 16
GET YOUR TRUCK TODAY!!! OTR COMPANY POSITIONS ARE AVAILABLE,https://dallas.craigslist.org/dal/trp/d/addison-get-your-truck-today-otr/7497352867.html,Jun 16
LEASING CONSULTANT,https://dallas.craigslist.org/dal/rej/d/dallas-leasing-consultant/7497352797.html,Jun 16
"Hvac Technician, student, or apprentice",https://dallas.craigslist.org/dal/trd/d/irving-hvac-technician-student-or/7497351790.html,Jun 16
Logistic Coordinator/Clerk- $40k-$50K Plus benefits!  -,https://dallas.craigslist.org/dal/ofc/d/grapevine-logistic-coordinator-clerk/7497350736.html,Jun 16
Logistic Coordinator/Clerk- $40k-$50K Plus benefits!  -,https://dallas.craigslist.org/dal/csr/d/grapevine-logistic-coordinator-clerk/7497350738.html,Jun 16
"HIRING TEAM DRIVERS! PAY IS .70CPM / $1,600 - $2,200 WEEKLY",https://dallas.craigslist.org/dal/trp/d/fresno-hiring-team-drivers-pay-is-70cpm/7497349321.html,Jun 16
OTR Truck Driver,https://dallas.craigslist.org/dal/trp/d/dallas-otr-truck-driver/7497344917.html,Jun 16
Benefits Administrator,https://dallas.craigslist.org/ndf/lab/d/lewisville-benefits-administrator/7497344249.html,Jun 16
$$ Need Vacuum Truck Owner Operators-HIGHEST RATES IN WEST TEXAS,https://dallas.craigslist.org/dal/trp/d/midland-need-vacuum-truck-owner/7497344146.html,Jun 16
$$ Need Vacuum Truck Owner Operators-HIGHEST RATES IN WEST TEXAS,https://dallas.craigslist.org/dal/bus/d/midland-need-vacuum-truck-owner/7497344145.html,Jun 16
📞📞📞 OWNER OPERATORS WANTED $$$ BRAND NEW TRAILERS $$$$$$$$$$$$,https://dallas.craigslist.org/dal/trp/d/dallas-owner-operators-wanted-brand-new/7497340823.html,Jun 16
Cabinet Engineer/Designer *Sign on Bonus*,https://dallas.craigslist.org/dal/trd/d/leander-cabinet-engineer-designer-sign/7497338772.html,Jun 16
"⭐️CDL-A⭐️DROP&HOOK🚀🔥Amazon,FedEx,UPS,JB HUNT🔥OTR",https://dallas.craigslist.org/dal/trp/d/dallas-cdl-adrophookamazonfedexupsjb/7497338390.html,Jun 16
SUB-CONTRACTORS - WINDOW INSTALLERS,https://dallas.craigslist.org/dal/trd/d/grand-prairie-sub-contractors-window/7497337077.html,Jun 16
Regional Truck Driver,https://dallas.craigslist.org/dal/trp/d/addison-regional-truck-driver/7497336844.html,Jun 16
"Owner Operators Needed, Self Dispatch Available",https://dallas.craigslist.org/dal/trp/d/schaumburg-owner-operators-needed-self/7497333301.html,Jun 16
"CDL Class A Driver - Home Daily - Great Pay, Benefits & Bonuses!",https://dallas.craigslist.org/ftw/trp/d/cdl-class-driver-home-daily-great-pay/7497332831.html,Jun 16
HOME WEEKLY-5K SIGN ON BONUS  🚚,https://dallas.craigslist.org/dal/trp/d/dallas-home-weekly-5k-sign-on-bonus/7497330932.html,Jun 16
$ High paying Journeyman crewlead  Position $,https://dallas.craigslist.org/dal/trd/d/the-colony-high-paying-journeyman/7497330855.html,Jun 16
***OTR Owner Operator 88% Lease Purchase***,https://dallas.craigslist.org/dal/trp/d/addison-otr-owner-operator-88-lease/7497329819.html,Jun 16
"CLASS A CDL TRUCK DRIVERS $2,000 SIGN ON BONUS!  25% - 28% OF LOAD!",https://dallas.craigslist.org/ftw/trp/d/fort-worth-class-cdl-truck-drivers-2000/7497329719.html,Jun 16
WE NEED OTR DRY VAN AND FLATBED DRIVERS ASAP FROM DALLAS TX,https://dallas.craigslist.org/dal/trp/d/dallas-we-need-otr-dry-van-and-flatbed/7497324993.html,Jun 16
Owner Operator Opportunities - UTFL,https://dallas.craigslist.org/dal/trp/d/dallas-owner-operator-opportunities-utfl/7497324122.html,Jun 16
OTR CDL Class A Drivers Needed! Sign On Bonus $2500,https://dallas.craigslist.org/ftw/trp/d/fort-worth-otr-cdl-class-drivers-needed/7497320721.html,Jun 16
$2500+ Weekly!OTR CDL Drivers/ Owner Ops Needed🚚💰💰💰,https://dallas.craigslist.org/dal/trp/d/addison-2500-weeklyotr-cdl-drivers/7497319720.html,Jun 16
WAREHOUSE - Kaufman Texas $14.00 - 1st shift,https://dallas.craigslist.org/dal/lab/d/kaufman-warehouse-kaufman-texas-st-shift/7497317188.html,Jun 16
Run Texas to California - Earn $84K Plus-Call Debbie 209-581-3225,https://dallas.craigslist.org/ftw/trp/d/alvord-run-texas-to-california-earn-84k/7497314861.html,Jun 16
😎  TEXAS REGIONAL -  🏠 Home Weekly 🔷 Great Pay,https://dallas.craigslist.org/dal/trp/d/addison-texas-regional-home-weekly/7497311417.html,Jun 16
**** END DUMP DRIVERS NEEDED ****,https://dallas.craigslist.org/dal/trp/d/end-dump-drivers-needed/7497310655.html,Jun 16
CDL A Drivers! Be your OWN Boss-50% OFF first week,https://dallas.craigslist.org/dal/trp/d/elgin-cdl-drivers-be-your-own-boss-50/7497309614.html,Jun 16
Leasing Manager (Full-Time) - Liv + Arlington,https://dallas.craigslist.org/dal/rej/d/arlington-leasing-manager-full-time-liv/7497307832.html,Jun 16
Leasing Manager (Full-Time) - Liv + Arlington,https://dallas.craigslist.org/dal/bus/d/arlington-leasing-manager-full-time-liv/7497307828.html,Jun 16
✪✪ Company Drivers ✪✪ ✪✪ Owner Operators ✪✪ ✪✪ LOCAL ✪✪,https://dallas.craigslist.org/dal/trp/d/dallas-company-drivers-owner-operators/7497306395.html,Jun 16
LEASE TO PURCHASE 88% FROM THE GROSS,https://dallas.craigslist.org/dal/trp/d/bridgeview-lease-to-purchase-88-from/7497299913.html,Jun 16
CARPENTER/CARPENTERS also PAINTERS,https://dallas.craigslist.org/dal/trd/d/irving-carpenter-carpenters-also/7497299726.html,Jun 16
$800+ per DAY - 2 man team -Owner/Operator Box Truck Deliveries- Dalla,https://dallas.craigslist.org/dal/trp/d/dallas-800-per-day-man-team-owner/7497298541.html,Jun 16
Construction Superintendent - starting at $1500 a week,https://dallas.craigslist.org/dal/bus/d/grand-prairie-construction/7497298505.html,Jun 16
UP TO 85 CPM OTR SOLO DRIVER - DRY VAN ON 1099,https://dallas.craigslist.org/dal/trp/d/bridgeview-up-to-85-cpm-otr-solo-driver/7497297998.html,Jun 16
$10k BONUS Available For Regional Drivers! | Weekly Home Time,https://dallas.craigslist.org/sdf/trp/d/burleson-10k-bonus-available-for/7497296635.html,Jun 16
$10k BONUS Available For Regional Drivers! | Weekly Home Time,https://dallas.craigslist.org/ndf/trp/d/coppell-10k-bonus-available-for/7497296627.html,Jun 16
Denton GENERAL LABOR! START ASAP! ($12.50/hr),https://dallas.craigslist.org/sdf/lab/d/denton-denton-general-labor-start-asap/7497297208.html,Jun 16
$10k BONUS Available For Regional Drivers! | Weekly Home Time,https://dallas.craigslist.org/mdf/trp/d/bedford-10k-bonus-available-for/7497296618.html,Jun 16
"CLASS A CDL TRUCK DRIVERS $2,000 SIGN ON BONUS!  25% - 28% OF LOAD!",https://dallas.craigslist.org/ftw/trp/d/fort-worth-class-cdl-truck-drivers-2000/7497297136.html,Jun 16
$10k BONUS Available For Regional Drivers! | Weekly Home Time,https://dallas.craigslist.org/ftw/trp/d/fort-worth-10k-bonus-available-for/7497296606.html,Jun 16
$10k BONUS Available For Regional Drivers! | Weekly Home Time,https://dallas.craigslist.org/dal/trp/d/dallas-10k-bonus-available-for-regional/7497296591.html,Jun 16
"BETTER PAY, BETTER LOADS, BETTER PEOPLE, O/O's earn 90% of Load Gross!",https://dallas.craigslist.org/dal/trp/d/richardson-better-pay-better-loads/7497293358.html,Jun 16
💲2400 - 💲2800 OTR VAN HAZMAT CDL A TRUCK DRIVER,https://dallas.craigslist.org/mdf/trp/d/arlington-otr-van-hazmat-cdl-truck/7497292628.html,Jun 16
skilled Butcher and meat cutter,https://dallas.craigslist.org/dal/fbh/d/wylie-skilled-butcher-and-meat-cutter/7497292232.html,Jun 16
skilled Butcher and meat cutter,https://dallas.craigslist.org/dal/lab/d/wylie-skilled-butcher-and-meat-cutter/7497292233.html,Jun 16
WINDOW & DOOR INSTALLER CREW,https://dallas.craigslist.org/dal/lab/d/garland-window-door-installer-crew/7497292149.html,Jun 16
UP TO $1 PER MILE OTR SOLO DRIVER - DRY VAN AND REEFER ON W-2,https://dallas.craigslist.org/dal/trp/d/bridgeview-up-to-per-mile-otr-solo/7497291173.html,Jun 16
OTR CD Solo 70-85cpm or 25%from the gross/Team 85-95cpm/Lease/ Owners 88%,https://dallas.craigslist.org/dal/trp/d/dallas-otr-cd-solo-70-85cpm-or-25from/7497290666.html,Jun 16
GET 77% FROM THE GROSS,https://dallas.craigslist.org/dal/trp/d/bridgeview-get-77-from-the-gross/7497290540.html,Jun 16
End Dump Driver,https://dallas.craigslist.org/dal/trp/d/mesquite-end-dump-driver/7497287637.html,Jun 16
Logistics Coordinator/ Dispatcher - $40K-$45K+Benefits! Starting ASAP,https://dallas.craigslist.org/dal/trp/d/grapevine-logistics-coordinator/7497285817.html,Jun 16
🔥SOLO 80 CPM 1099🔥 75 CPM W2🔥2021 cascadias🔥 DROP AND HOOK,https://dallas.craigslist.org/dal/trp/d/dallas-solo-80-cpm-cpm-w22021-cascadias/7497283857.html,Jun 16
DRIVERS NEEDED!  Local Drivers,https://dallas.craigslist.org/ftw/trp/d/azle-drivers-needed-local-drivers/7497282985.html,Jun 16
HIRING CDL A DRIVERS COMPANY-TEAM AND SOLO 70-90CPM/OWNERS 85-88%GROSS,https://dallas.craigslist.org/dal/trp/d/dallas-hiring-cdl-drivers-company-team/7497282137.html,Jun 16
"Local CDL A Drivers Needed - $2,000 Sign-on Bonus!",https://dallas.craigslist.org/dal/trp/d/weatherford-local-cdl-drivers-needed/7497280803.html,Jun 16
OTR CDL A -MAKE UP TO 95CPM,https://dallas.craigslist.org/dal/trp/d/kansas-city-otr-cdl-make-up-to-95cpm/7497278493.html,Jun 16
"Local CDL A Drivers Needed - $2,000 Sign-on Bonus!",https://dallas.craigslist.org/dal/trp/d/dallas-local-cdl-drivers-needed-sign-on/7497275127.html,Jun 16
Hiring Journeyman  and Apprentice Electricians,https://dallas.craigslist.org/dal/trd/d/dallas-hiring-journeyman-and-apprentice/7497273944.html,Jun 16
"80CPM/Team*70CPM/Solo*Dry Van**Class A Drivers**Ontario,CA",https://dallas.craigslist.org/dal/trp/d/ontario-80cpm-team70cpm-solodry/7497272862.html,Jun 16
Class A CDL  / HOME EVERY NIGHT,https://dallas.craigslist.org/dal/trp/d/grand-prairie-class-cdl-home-every-night/7497272595.html,Jun 16
💰 FLATBED DRIVERS WANTED - Regional💰 - Home on Weekends!🏡,https://dallas.craigslist.org/dal/trp/d/dallas-flatbed-drivers-wanted-regional/7497272438.html,Jun 16
CDL Local/Regional,https://dallas.craigslist.org/ftw/trp/d/fort-worth-cdl-local-regional/7497268332.html,Jun 16
Tuning jobs - IMMEDIATE HIRES WILL TRAIN,https://dallas.craigslist.org/dal/mnu/d/carrollton-tuning-jobs-immediate-hires/7497267697.html,Jun 16
.57 cpm on CA to TX  – We have 10 Grand bonus💵 and APU’s 🔌!,https://dallas.craigslist.org/mdf/trp/d/arlington-57-cpm-on-ca-to-tx-we-have-10/7497267618.html,Jun 16
"Money you seek, Drive Truck you must - Dallas to W. TX! .60 cpm",https://dallas.craigslist.org/ftw/trp/d/fort-worth-money-you-seek-drive-truck/7497267362.html,Jun 16
Electronic Assemblers  - IMMEDIATE HIRES WILL TRAIN,https://dallas.craigslist.org/dal/lab/d/carrollton-electronic-assemblers/7497267200.html,Jun 16
Shipping Clerk - Starts Immediately!!!!,https://dallas.craigslist.org/dal/lab/d/carrollton-shipping-clerk-starts/7497266985.html,Jun 16
"CONESTOGA REGIONAL CDL TRUCK DRIVER | EARN UP TO $91,000/YEAR",https://dallas.craigslist.org/dal/trp/d/dallas-conestoga-regional-cdl-truck/7497266782.html,Jun 16
Looking to hire seamstress and or a trainee.,https://dallas.craigslist.org/ftw/lab/d/decatur-looking-to-hire-seamstress-and/7497264298.html,Jun 16
"CLASS A CDL TRUCK DRIVERS $2,000 SIGN ON BONUS!  25% - 28% OF LOAD!",https://dallas.craigslist.org/ftw/trp/d/fort-worth-class-cdl-truck-drivers-2000/7497263954.html,Jun 16
💲🚚 💲OWNER OPERATOR $8600-$10700 WEEKLY 3.2$ PER MILE 🚚💲🚚!!!,https://dallas.craigslist.org/dal/trp/d/willowbrook-owner-operator-weekly-32/7497263470.html,Jun 16
Caregiver Needed,https://dallas.craigslist.org/dal/hea/d/dallas-caregiver-needed/7497262892.html,Jun 16
"***We are an ELITE TEAM of Owner Ops…Average WEEKLY GROSS $10,800.00**",https://dallas.craigslist.org/dal/trp/d/dallas-we-are-an-elite-team-of-owner/7497262171.html,Jun 16
🐄  Cocineros de línea/prepa || Hasta $17/Hora || Mendocino Farms,https://dallas.craigslist.org/dal/fbh/d/dallas-cocineros-de-lnea-prepa-hasta-17/7497261182.html,Jun 16
Lyft Driver (part-time / full-time),https://dallas.craigslist.org/dal/lab/d/dallas-lyft-driver-part-time-full-time/7497249942.html,Jun 16
